title,author,year
TheWeirdstoneofBrisingamen,AlanGarner,1960
PerdidoStreetStation,ChinaMiéville,2000
Thud!,TerryPratchett,2005
TheSpellmanFiles,LisaLutz,2007
Small Gods,Terry Pratchett,1992
